No.,Company Name,Stock Price,Market Cap,Symbol,Industry
248,Norfolk Southern Corporation,283.25,63.61B,NSC,Railroads
249,"Elevance Health, Inc.",286.39,63.21B,ELV,Healthcare Plans
250,Imperial Oil Limited,130.76,63.18B,IMO,Oil & Gas Integrated
251,"Apollo Global Management, Inc.",108.42,62.69B,APO,Asset Management
252,Sempra,95.88,62.64B,SRE,Utilities - Diversified
253,Baker Hughes Company,63.22,62.48B,BKR,Oil & Gas Equipment & Services
254,"Cheniere Energy, Inc.",296.91,62.41B,LNG,Oil & Gas Midstream
255,Canadian National Railway Company,101.43,62.03B,CNI,Railroads
256,"The Travelers Companies, Inc.",285.27,61.69B,TRV,Insurance - Property & Casualty
257,"Cencora, Inc.",312.45,60.78B,COR,Medical Distribution
258,"Digital Realty Trust, Inc.",175.42,60.28B,DLR,REIT - Specialty
259,"Robinhood Markets, Inc.",66.02,59.44B,HOOD,Capital Markets
260,TE Connectivity plc,202.14,59.31B,TEL,Electronic Components
261,PACCAR Inc,112.75,59.29B,PCAR,Farm & Heavy Construction Machinery
262,"ONEOK, Inc.",93.96,59.17B,OKE,Oil & Gas Midstream
263,MPLX LP,58.13,59.01B,MPLX,Oil & Gas Midstream
264,"Simon Property Group, Inc.",180.19,58.55B,SPG,REIT - Retail
265,"Fortinet, Inc.",78.20,58.15B,FTNT,Software - Infrastructure
266,RELX PLC,31.97,57.67B,RELX,Specialty Business Services
267,"Diamondback Energy, Inc.",201.84,56.93B,FANG,Oil & Gas Exploration & Production
268,NatWest Group plc,14.27,56.92B,NWG,Banks - Regional
269,Ciena Corporation,401.61,56.79B,CIEN,Communication Equipment
270,Realty Income Corporation,60.69,56.68B,O,REIT - Retail
271,Takeda Pharmaceutical Company Limited,17.91,56.58B,TAK,Drug Manufacturers - Specialty & Generic
272,Wheaton Precious Metals Corp.,124.70,56.51B,WPM,Gold
273,Manulife Financial Corporation,33.63,56.48B,MFC,Insurance - Life
274,Ferrari N.V.,317.40,56.27B,RACE,Auto Manufacturers
275,Truist Financial Corporation,44.53,55.63B,TFC,Banks - Regional
276,"Corteva, Inc.",81.99,55.14B,CTVA,Agricultural Inputs
277,Aflac Incorporated,106.41,54.95B,AFL,Insurance - Life
278,"AutoZone, Inc.","3,316.71",54.65B,AZO,Auto Parts
279,Medline Inc.,41.36,54.33B,MDLN,Medical Instruments & Supplies
280,Target Corporation,119.84,54.27B,TGT,Discount Stores
281,Deutsche Bank Aktiengesellschaft,28.37,54.13B,DB,Banks - Regional
282,Targa Resources Corp.,250.23,53.79B,TRGP,Oil & Gas Midstream
283,"Dominion Energy, Inc.",60.88,53.50B,D,Utilities - Regulated Electric
284,Arthur J. Gallagher & Co.,207.10,53.25B,AJG,Insurance Brokers
285,Snowflake Inc.,152.80,52.82B,SNOW,Software - Application
286,The Allstate Corporation,202.71,52.73B,ALL,Insurance - Property & Casualty
287,Vistra Corp.,155.48,52.39B,VST,Utilities - Independent Power Producers
288,Infosys Limited,12.83,52.02B,INFY,Information Technology Services
289,"Monolithic Power Systems, Inc.","1,053.01",51.72B,MPWR,Semiconductors
290,Fastenal Company,44.95,51.61B,FAST,Industrial Distribution
291,Electronic Arts Inc.,202.01,50.55B,EA,Electronic Gaming & Multimedia
292,Cenovus Energy Inc.,26.82,50.27B,CVE,Oil & Gas Integrated
293,Lumentum Holdings Inc.,702.73,50.17B,LITE,Communication Equipment
294,"W.W. Grainger, Inc.","1,057.07",50.08B,GWW,Industrial Distribution
295,Entergy Corporation,109.88,49.77B,ETR,Utilities - Regulated Electric
296,Exelon Corporation,48.32,49.43B,EXC,Utilities - Regulated Electric
297,"Cardinal Health, Inc.",206.58,48.61B,CAH,Medical Distribution
298,"Autodesk, Inc.",229.84,48.50B,ADSK,Software - Application
299,NXP Semiconductors N.V.,191.66,48.43B,NXPI,Semiconductors
300,"Comfort Systems USA, Inc.","1,366.77",48.08B,FIX,Engineering & Construction
301,"AMETEK, Inc.",209.24,47.91B,AME,Specialty Industrial Machinery
302,"Keysight Technologies, Inc.",279.06,47.86B,KEYS,Scientific & Technical Instruments
303,Zoetis Inc.,113.35,47.85B,ZTS,Drug Manufacturers - Specialty & Generic
