No.,Company Name,Stock Price,Market Cap,Symbol,Industry
377,Alcon Inc.,73.34,35.75B,ALC,Medical Instruments & Supplies
378,Keurig Dr Pepper Inc.,26.23,35.64B,KDP,Beverages - Non-Alcoholic
379,KB Financial Group Inc.,99.37,35.63B,KB,Banks - Regional
380,"Roper Technologies, Inc.",344.42,35.45B,ROP,Software - Application
381,Texas Pacific Land Corporation,511.75,35.28B,TPL,Oil & Gas Exploration & Production
382,Prudential plc,27.78,35.20B,PUK,Insurance - Life
383,"Take-Two Interactive Software, Inc.",189.69,35.13B,TTWO,Electronic Gaming & Multimedia
384,Ryanair Holdings plc,58.48,34.87B,RYAAY,Airlines
385,Archer-Daniels-Midland Company,72.23,34.76B,ADM,Farm Products
386,Las Vegas Sands Corp.,51.69,34.73B,LVS,Resorts & Casinos
387,Rocket Lab Corporation,60.93,34.57B,RKLB,Aerospace & Defense
388,Carnival Corporation & plc,24.19,34.54B,CCL,Travel Services
389,"Martin Marietta Materials, Inc.",570.94,34.43B,MLM,Building Materials
390,Kinross Gold Corporation,28.74,34.37B,KGC,Gold
391,Crown Castle Inc.,78.59,34.27B,CCI,REIT - Specialty
392,"Live Nation Entertainment, Inc.",145.71,34.21B,LYV,Entertainment
393,State Street Corporation,122.52,34.15B,STT,Asset Management
394,Vulcan Materials Company,261.46,34.14B,VMC,Building Materials
395,Sun Life Financial Inc.,61.37,34.05B,SLF,Insurance - Diversified
396,"Axon Enterprise, Inc.",429.94,33.93B,AXON,Aerospace & Defense
397,Halliburton Company,40.42,33.85B,HAL,Oil & Gas Equipment & Services
398,Kenvue Inc.,17.52,33.58B,KVUE,Household & Personal Products
399,Microchip Technology Incorporated,62.00,33.55B,MCHP,Semiconductors
400,Vodafone Group Public Limited Company,14.49,33.54B,VOD,Telecom Services
401,"Block, Inc.",55.98,33.54B,XYZ,Software - Infrastructure
402,EchoStar Corporation,115.21,33.28B,SATS,Telecom Services
403,Arch Capital Group Ltd.,93.42,33.24B,ACGL,Insurance - Diversified
404,"Coupang, Inc.",18.09,33.07B,CPNG,Internet Retail
405,Teva Pharmaceutical Industries Limited,28.74,33.05B,TEVA,Drug Manufacturers - Specialty & Generic
406,"Paychex, Inc.",91.68,32.85B,PAYX,Software - Application
407,Kimberly-Clark Corporation,98.66,32.75B,KMB,Household & Personal Products
408,"Chunghwa Telecom Co., Ltd.",42.08,32.64B,CHT,Telecom Services
409,"EMCOR Group, Inc.",732.89,32.64B,EME,Engineering & Construction
410,HEICO Corporation,207.78,32.61B,HEI.A,Aerospace & Defense
411,Restaurant Brands International Inc.,71.42,32.56B,QSR,Restaurants
412,"Prudential Financial, Inc.",93.29,32.46B,PRU,Insurance - Life
413,Devon Energy Corporation,52.07,32.28B,DVN,Oil & Gas Exploration & Production
414,ResMed Inc.,220.47,32.12B,RMD,Medical Instruments & Supplies
415,"Workday, Inc.",124.18,31.91B,WDAY,Software - Application
416,Hewlett Packard Enterprise Company,23.94,31.76B,HPE,Communication Equipment
417,"NRG Energy, Inc.",147.74,31.72B,NRG,Utilities - Independent Power Producers
418,Trip.com Group Limited,48.49,31.68B,TCOM,Travel Services
419,"Honda Motor Co., Ltd.",24.34,31.58B,HMC,Auto Manufacturers
420,GE HealthCare Technologies Inc.,69.23,31.55B,GEHC,Medical Devices
421,Celestica Inc.,280.22,31.43B,CLS,Electronic Components
422,"Cheniere Energy Partners, L.P.",64.92,31.42B,CQP,Oil & Gas Midstream
423,BeOne Medicines AG,283.03,31.37B,ONC,Biotechnology
424,Insmed Incorporated,145.30,31.32B,INSM,Biotechnology
425,"Copart, Inc.",32.43,31.24B,CPRT,Specialty Business Services
426,"Agilent Technologies, Inc.",110.24,31.15B,A,Diagnostics & Research
427,Ingersoll Rand Inc.,79.45,31.11B,IR,Specialty Industrial Machinery
428,AXIA Energia SA,10.71,31.04B,AXIA,Utilities - Renewable
429,Ecopetrol S.A.,15.01,30.86B,EC,Oil & Gas Integrated
430,Viking Holdings Ltd,68.58,30.56B,VIK,Travel Services
431,Credicorp Ltd.,322.43,30.43B,BAP,Banks - Regional
432,Atmos Energy Corporation,183.19,30.31B,ATO,Utilities - Regulated Gas
433,Ameren Corporation,108.72,30.05B,AEE,Utilities - Regulated Electric
434,DTE Energy Company,144.47,30.02B,DTE,Utilities - Regulated Electric
435,M&T Bank Corporation,200.93,29.94B,MTB,Banks - Regional
436,Otis Worldwide Corporation,75.95,29.52B,OTIS,Specialty Industrial Machinery
437,Tenaris S.A.,58.29,29.49B,TS,Oil & Gas Equipment & Services
438,"Shinhan Financial Group Co., Ltd.",60.83,29.39B,SHG,Banks - Regional
439,Dow Inc.,40.82,29.29B,DOW,Chemicals
440,Iron Mountain Incorporated,98.30,29.08B,IRM,REIT - Specialty
441,STMicroelectronics N.V.,32.54,28.92B,STM,Semiconductors
442,FirstEnergy Corp.,50.03,28.91B,FE,Utilities - Regulated Electric
443,"Fiserv, Inc.",53.90,28.82B,FISV,Software - Application
444,"United Airlines Holdings, Inc.",88.44,28.60B,UAL,Airlines
445,"Interactive Brokers Group, Inc.",64.20,28.59B,IBKR,Capital Markets
446,Xylem Inc.,117.55,28.58B,XYL,Specialty Industrial Machinery
447,"Cboe Global Markets, Inc.",273.00,28.57B,CBOE,Financial Data & Stock Exchanges
448,Cognizant Technology Solutions Corporation,59.73,28.57B,CTSH,Information Technology Services
449,TechnipFMC plc,71.19,28.48B,FTI,Oil & Gas Equipment & Services
450,VICI Properties Inc.,26.61,28.44B,VICI,REIT - Diversified
451,Waters Corporation,289.16,28.37B,WAT,Diagnostics & Research
452,PPL Corporation,37.65,28.29B,PPL,Utilities - Regulated Electric
453,Fortis Inc.,55.66,28.25B,FTS,Utilities - Regulated Electric
454,Veeva Systems Inc.,172.59,28.19B,VEEV,Health Information Services
455,"Tapestry, Inc.",138.84,28.11B,TPR,Luxury Goods
456,Dover Corporation,206.60,27.86B,DOV,Specialty Industrial Machinery
457,"Raymond James Financial, Inc.",141.32,27.85B,RJF,Asset Management
458,IQVIA Holdings Inc.,163.85,27.81B,IQV,Diagnostics & Research
459,"Charter Communications, Inc.",219.14,27.75B,CHTR,Telecom Services
460,"Expedia Group, Inc.",225.81,27.67B,EXPE,Travel Services
461,"CenterPoint Energy, Inc.",42.38,27.67B,CNP,Utilities - Regulated Electric
462,Jabil Inc.,261.10,27.57B,JBL,Electronic Components
463,Coterra Energy Inc.,36.31,27.57B,CTRA,Oil & Gas Exploration & Production
464,Teledyne Technologies Incorporated,593.31,27.47B,TDY,Scientific & Technical Instruments
465,Expand Energy Corporation,113.50,27.29B,EXE,Oil & Gas Exploration & Production
466,Extra Space Storage Inc.,128.96,27.23B,EXR,REIT - Industrial
467,Edison International,70.30,27.05B,EIX,Utilities - Regulated Electric
468,Biogen Inc.,183.84,26.98B,BIIB,Drug Manufacturers - General
469,"Sunbelt Rentals Holdings, Inc.",65.27,26.89B,SUNB,Rental & Leasing Services
470,"American Water Works Company, Inc.",136.86,26.72B,AWK,Utilities - Regulated Water
471,Willis Towers Watson Public Limited Company,282.18,26.68B,WTW,Insurance Brokers
472,Pembina Pipeline Corporation,45.77,26.63B,PBA,Oil & Gas Midstream
473,"Casey's General Stores, Inc.",714.24,26.40B,CASY,Specialty Retail
474,"Constellation Brands, Inc.",151.40,26.25B,STZ,Beverages - Brewers
475,The Kraft Heinz Company,22.04,26.09B,KHC,Packaged Foods
476,LyondellBasell Industries N.V.,80.45,25.92B,LYB,Specialty Chemicals
477,Dollar General Corporation,117.16,25.80B,DG,Discount Stores
478,Hubbell Incorporated,480.97,25.57B,HUBB,Electrical Equipment & Parts
479,"Natera, Inc.",182.65,25.51B,NTRA,Diagnostics & Research
480,Nebius Group N.V.,100.82,25.51B,NBIS,Internet Content & Information
481,Koninklijke Philips N.V.,26.78,25.48B,PHG,Medical Devices
482,Eversource Energy,67.59,25.35B,ES,Utilities - Regulated Electric
483,"Rollins, Inc.",52.46,25.24B,ROL,Personal Services
484,"Verisk Analytics, Inc.",182.75,25.21B,VRSK,Consulting Services
485,Fox Corporation,59.11,25.15B,FOXA,Entertainment
486,Northern Trust Corporation,134.99,25.08B,NTRS,Asset Management
487,Mettler-Toledo International Inc.,"1,232.04",25.04B,MTD,Diagnostics & Research
488,"MasTec, Inc.",316.01,24.93B,MTZ,Engineering & Construction
489,Bunge Global SA,128.72,24.91B,BG,Farm Products
490,Tradeweb Markets Inc.,116.57,24.78B,TW,Capital Markets
491,"Steel Dynamics, Inc.",170.97,24.77B,STLD,Steel
492,"Citizens Financial Group, Inc.",57.78,24.56B,CFG,Banks - Regional
493,FTAI Aviation Ltd.,239.06,24.52B,FTAI,Rental & Leasing Services
494,Curtiss-Wright Corporation,663.56,24.47B,CW,Aerospace & Defense
495,TelefÃ´nica Brasil S.A.,15.25,24.37B,VIV,Telecom Services
496,The EstÃ©e Lauder Companies Inc.,67.23,24.32B,EL,Household & Personal Products
497,W. R. Berkley Corporation,64.74,24.24B,WRB,Insurance - Property & Casualty
498,"Fidelity National Information Services, Inc.",46.89,24.12B,FIS,Information Technology Services
499,Fair Isaac Corporation,"1,011.06",24.03B,FICO,Software - Application
500,"DexCom, Inc.",62.25,23.96B,DXCM,Medical Devices
501,Cincinnati Financial Corporation,153.68,23.92B,CINF,Insurance - Property & Casualty
502,GLOBALFOUNDRIES Inc.,42.94,23.87B,GFS,Semiconductors
503,Ares Management Corporation,106.28,23.85B,ARES,Asset Management
504,Flex Ltd.,64.80,23.83B,FLEX,Electronic Components
505,Teck Resources Limited,48.54,23.81B,TECK,Other Industrial Metals & Mining
506,LPL Financial Holdings Inc.,296.90,23.78B,LPLA,Capital Markets
507,Tractor Supply Company,44.87,23.71B,TSCO,Specialty Retail
508,Sociedad QuÃ­mica y Minera de Chile S.A.,82.70,23.62B,SQM,Specialty Chemicals
509,BCE Inc.,25.25,23.57B,BCE,Telecom Services
510,Markel Group Inc.,"1,867.29",23.48B,MKL,Insurance - Property & Casualty
511,"Qnity Electronics, Inc.",111.76,23.43B,Q,Semiconductor Equipment & Materials
512,CMS Energy Corporation,76.21,23.35B,CMS,Utilities - Regulated Electric
513,"Reddit, Inc.",121.84,23.28B,RDDT,Internet Content & Information
514,"PPG Industries, Inc.",103.82,23.20B,PPG,Specialty Chemicals
515,"Circle Internet Group, Inc.",93.66,23.12B,CRCL,Capital Markets
516,"AST SpaceMobile, Inc.",78.67,23.02B,ASTS,Communication Equipment
517,ON Semiconductor Corporation,58.35,22.99B,ON,Semiconductors
518,United Therapeutics Corporation,522.83,22.91B,UTHR,Drug Manufacturers - Specialty & Generic
519,Omnicom Group Inc.,73.82,22.91B,OMC,Advertising Agencies
520,"Zoom Communications, Inc.",77.71,22.90B,ZM,Software - Application
521,"First Citizens BancShares, Inc.","1,835.67",22.83B,FCNCA,Banks - Regional
522,Synchrony Financial,65.36,22.72B,SYF,Credit Services
523,Fox Corporation,53.38,22.71B,FOX,Entertainment
524,"VeriSign, Inc.",247.48,22.69B,VRSN,Software - Infrastructure
525,"AvalonBay Communities, Inc.",160.81,22.53B,AVB,REIT - Residential
526,"Tyson Foods, Inc.",63.92,22.50B,TSN,Farm Products
527,Formula One Group,75.09,22.49B,FWONA,Entertainment
528,"Church & Dwight Co., Inc.",94.69,22.41B,CHD,Household & Personal Products
529,"Ulta Beauty, Inc.",510.34,22.32B,ULTA,Specialty Retail
530,Lennar Corporation,90.25,22.29B,LEN,Residential Construction
531,AerCap Holdings N.V.,133.38,22.26B,AER,Rental & Leasing Services
532,"Nomura Holdings, Inc.",7.58,22.24B,NMR,Capital Markets
533,Equity Residential,58.75,22.18B,EQR,REIT - Residential
534,United Microelectronics Corporation,8.87,22.15B,UMC,Semiconductors
535,"XPO, Inc.",189.05,22.15B,XPO,Trucking
536,"Darden Restaurants, Inc.",192.49,22.05B,DRI,Restaurants
537,"PulteGroup, Inc.",114.63,22.05B,PHM,Residential Construction
538,NiSource Inc.,45.97,22.00B,NI,Utilities - Regulated Gas
539,Pan American Silver Corp.,51.70,21.83B,PAAS,Gold
540,Wipro Limited,2.080,21.78B,WIT,Information Technology Services
541,Labcorp Holdings Inc.,264.20,21.77B,LH,Diagnostics & Research
542,Brookfield Renewable Partners L.P.,31.74,21.75B,BEP,Utilities - Renewable
543,Regions Financial Corporation,25.16,21.73B,RF,Banks - Regional
544,"Brown & Brown, Inc.",63.43,21.59B,BRO,Insurance Brokers
545,BioNTech SE,85.68,21.53B,BNTX,Biotechnology
546,STERIS plc,219.40,21.52B,STE,Medical Devices
547,Quest Diagnostics Incorporated,195.51,21.51B,DGX,Diagnostics & Research
548,Loews Corporation,104.06,21.44B,L,Insurance - Property & Casualty
549,"Zscaler, Inc.",133.16,21.41B,ZS,Software - Infrastructure
550,KeyCorp,19.45,21.19B,KEY,Banks - Regional
551,Albemarle Corporation,179.45,21.15B,ALB,Specialty Chemicals
552,"Dollar Tree, Inc.",107.00,21.11B,DLTR,Discount Stores
553,Veralto Corporation,85.03,21.07B,VLTO,Pollution & Treatment Controls
554,"CF Industries Holdings, Inc.",136.45,20.97B,CF,Agricultural Inputs
555,"Woodward, Inc.",351.17,20.94B,WWD,Aerospace & Defense
556,Banco Santander (Brasil) S.A.,5.61,20.89B,BSBR,Banks - Regional
557,"Williams-Sonoma, Inc.",175.29,20.86B,WSM,Specialty Retail
558,Rogers Communications Inc.,38.49,20.86B,RCI,Telecom Services
559,Equifax Inc.,171.85,20.67B,EFX,Consulting Services
560,Smurfit Westrock Plc,39.41,20.66B,SW,Packaging & Containers
561,"First Solar, Inc.",190.29,20.42B,FSLR,Solar
562,Humana Inc.,169.09,20.39B,HUM,Healthcare Plans
563,Companhia de Saneamento BÃ¡sico do Estado de SÃ£o Paulo - SABESP,28.77,20.28B,SBS,Utilities - Regulated Water
564,"NetApp, Inc.",102.34,20.19B,NTAP,Software - Infrastructure
565,"Coca-Cola FEMSA, S.A.B. de C.V.",95.57,20.08B,KOF,Beverages - Non-Alcoholic
566,"Royal Gold, Inc.",237.54,20.07B,RGLD,Gold
567,US Foods Holding Corp.,90.86,20.04B,USFD,Food Distribution
568,TELUS Corporation,12.74,19.95B,TU,Telecom Services
569,Royalty Pharma plc,46.35,19.86B,RPRX,Biotechnology
570,Ralph Lauren Corporation,327.82,19.85B,RL,Apparel Manufacturing
571,Fabrinet,551.97,19.77B,FN,Electronic Components
572,"Leidos Holdings, Inc.",155.53,19.66B,LDOS,Information Technology Services
573,"Burlington Stores, Inc.",312.75,19.61B,BURL,Apparel Retail
574,"Moderna, Inc.",49.56,19.57B,MRNA,Biotechnology
575,"Everpure, Inc.",58.98,19.49B,PSTG,Computer Hardware
576,InterContinental Hotels Group PLC,129.60,19.46B,IHG,Lodging
577,"General Mills, Inc.",36.45,19.45B,GIS,Packaged Foods
578,"J.B. Hunt Transport Services, Inc.",205.59,19.45B,JBHT,Integrated Freight & Logistics
579,Stellantis N.V.,6.71,19.44B,STLA,Auto Manufacturers
580,"SoFi Technologies, Inc.",15.23,19.42B,SOFI,Credit Services
581,"Corpay, Inc.",284.93,19.39B,CPAY,Software - Infrastructure
582,Tower Semiconductor Ltd.,171.92,19.35B,TSEM,Semiconductors
583,"T. Rowe Price Group, Inc.",88.45,19.29B,TROW,Asset Management
584,ATI Inc.,140.43,19.23B,ATI,Metal Fabrication
585,Banco de Chile,38.05,19.22B,BCH,Banks - Regional
586,"C.H. Robinson Worldwide, Inc.",161.57,19.17B,CHRW,Integrated Freight & Logistics
587,"Astera Labs, Inc.",112.47,19.14B,ALAB,Semiconductors
588,ZTO Express (Cayman) Inc.,24.06,19.14B,ZTO,Integrated Freight & Logistics
589,Korea Electric Power Corporation,14.87,19.09B,KEP,Utilities - Regulated Electric
590,XPeng Inc.,16.93,19.06B,XPEV,Auto Manufacturers
591,Roivant Sciences Ltd.,26.52,18.98B,ROIV,Biotechnology
592,Packaging Corporation of America,212.25,18.94B,PKG,Packaging & Containers
593,"MongoDB, Inc.",235.51,18.93B,MDB,Software - Infrastructure
594,nVent Electric plc,116.98,18.92B,NVT,Electrical Equipment & Parts
595,"Principal Financial Group, Inc.",87.01,18.87B,PFG,Asset Management
596,"Expeditors International of Washington, Inc.",141.22,18.85B,EXPD,Integrated Freight & Logistics
597,Carpenter Technology Corporation,376.92,18.77B,CRS,Metal Fabrication
598,International Paper Company,35.45,18.77B,IP,Packaging & Containers
599,Grupo Cibest S.A.,69.98,18.67B,CIB,Banks - Regional
600,Snap-on Incorporated,359.04,18.64B,SNA,Tools & Accessories
601,Futu Holdings Limited,133.94,18.64B,FUTU,Capital Markets
602,"Evergy, Inc.",80.85,18.62B,EVRG,Utilities - Regulated Electric
603,"BWX Technologies, Inc.",202.59,18.53B,BWXT,Aerospace & Defense
604,"DuPont de Nemours, Inc.",45.26,18.51B,DD,Specialty Chemicals
605,Banco Bradesco S.A.,3.490,18.48B,BBD,Banks - Regional
606,Global Payments Inc.,65.90,18.45B,GPN,Specialty Business Services
607,"Broadridge Financial Solutions, Inc.",157.42,18.38B,BR,Information Technology Services
608,Southwest Airlines Co.,37.36,18.36B,LUV,Airlines
609,"Revolution Medicines, Inc.",92.51,18.33B,RVMD,Biotechnology
610,"Rivian Automotive, Inc.",14.77,18.33B,RIVN,Auto Manufacturers
611,JBS N.V.,17.03,18.20B,JBS,Packaged Foods
612,Twilio Inc.,119.99,18.18B,TWLO,Software - Infrastructure
613,International Flavors & Fragrances Inc.,71.01,18.14B,IFF,Specialty Chemicals
614,Alliant Energy Corporation,70.52,18.13B,LNT,Utilities - Regulated Electric
615,KE Holdings Inc.,15.32,18.02B,BEKE,Real Estate Services
616,"NVR, Inc.","6,450.76",18.02B,NVR,Residential Construction
617,"Illumina, Inc.",117.67,17.99B,ILMN,Diagnostics & Research
618,Incyte Corporation,90.30,17.97B,INCY,Biotechnology
619,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,18.13,17.96B,TLK,Telecom Services
620,Amcor plc,38.62,17.84B,AMCR,Packaging & Containers
621,Nextpower Inc.,120.03,17.82B,NXT,Solar
622,HP Inc.,19.44,17.78B,HPQ,Computer Hardware
623,YPF Sociedad AnÃ³nima,45.17,17.77B,YPF,Oil & Gas Integrated
624,"Coeur Mining, Inc.",17.13,17.73B,CDE,Gold
625,SBA Communications Corporation,167.06,17.67B,SBAC,REIT - Specialty
626,Flutter Entertainment plc,100.50,17.62B,FLUT,Gambling
627,"RB Global, Inc.",94.61,17.59B,RBA,Specialty Business Services
628,Ovintiv Inc.,62.08,17.59B,OVV,Oil & Gas Exploration & Production
629,Permian Resources Corporation,21.65,17.58B,PR,Oil & Gas Exploration & Production
630,Credo Technology Group Holding Ltd,95.24,17.57B,CRDO,Semiconductors
631,"Zimmer Biomet Holdings, Inc.",88.57,17.55B,ZBH,Medical Devices
632,"Amer Sports, Inc.",31.43,17.53B,AS,Leisure
633,"West Pharmaceutical Services, Inc.",243.35,17.53B,WST,Medical Instruments & Supplies
634,"Yum China Holdings, Inc.",49.59,17.51B,YUMC,Restaurants
635,Samsara Inc.,29.75,17.28B,IOT,Software - Infrastructure
636,"Entegris, Inc.",113.59,17.27B,ENTG,Semiconductor Equipment & Materials
637,APi Group Corporation,39.91,17.22B,APG,Engineering & Construction
638,Weyerhaeuser Company,23.86,17.20B,WY,REIT - Specialty
639,Atlassian Corporation,65.12,17.18B,TEAM,Software - Application
640,"DICK'S Sporting Goods, Inc.",189.36,17.04B,DKS,Specialty Retail
641,"Mueller Industries, Inc.",108.45,16.96B,MLI,Metal Fabrication
642,Alamos Gold Inc.,42.54,16.93B,AGI,Gold
643,"MACOM Technology Solutions Holdings, Inc.",225.44,16.91B,MTSI,Semiconductors
644,"Hologic, Inc.",75.67,16.88B,HOLX,Medical Instruments & Supplies
645,UL Solutions Inc.,83.91,16.87B,ULS,Specialty Business Services
646,RBC Bearings Incorporated,532.25,16.83B,RBC,Tools & Accessories
647,Xcel Energy Inc.,78.09,16.76B,XEL,Utilities - Regulated Electric
648,"CoStar Group, Inc.",39.77,16.70B,CSGP,Real Estate Services
649,Tenet Healthcare Corporation,191.86,16.68B,THC,Medical Care Facilities
650,Fortive Corporation,53.92,16.60B,FTV,Scientific & Technical Instruments
651,"Akamai Technologies, Inc.",114.50,16.59B,AKAM,Software - Infrastructure
652,Genmab A/S,25.82,16.59B,GMAB,Biotechnology
653,The Carlyle Group Inc.,45.67,16.49B,CG,Asset Management
654,"Western Midstream Partners, LP",41.78,16.45B,WES,Oil & Gas Midstream
655,PTC Inc.,137.61,16.38B,PTC,Software - Application
656,Woori Financial Group Inc.,65.73,16.26B,WF,Banks - Regional
657,Brookfield Infrastructure Partners L.P.,34.86,16.24B,BIP,Utilities - Diversified
658,lululemon athletica inc.,145.85,16.11B,LULU,Apparel Retail
659,"F5, Inc.",281.98,15.94B,FFIV,Software - Infrastructure
660,ITT Inc.,184.69,15.88B,ITT,Specialty Industrial Machinery
661,"Plains All American Pipeline, L.P.",22.44,15.83B,PAA,Oil & Gas Midstream
662,"SS&C Technologies Holdings, Inc.",65.42,15.80B,SSNC,Software - Application
663,Li Auto Inc.,17.46,15.78B,LI,Auto Manufacturers
664,Ball Corporation,59.27,15.77B,BALL,Packaging & Containers
665,Centene Corporation,32.00,15.74B,CNC,Healthcare Plans
666,APA Corporation,44.39,15.68B,APA,Oil & Gas Exploration & Production
667,Emera Incorporated,51.38,15.58B,EMA,Utilities - Regulated Electric
668,"Reliance, Inc.",299.59,15.50B,RS,Steel
669,"Sun Communities, Inc.",125.57,15.47B,SUI,REIT - Residential
670,"Essex Property Trust, Inc.",239.61,15.45B,ESS,REIT - Residential
671,Alcoa Corporation,58.41,15.41B,AA,Aluminum
672,PayPay Corporation,23.04,15.41B,PAYP,Credit Services
673,Magna International Inc.,54.38,15.40B,MGA,Auto Parts
674,Rentokil Initial plc,30.56,15.38B,RTO,Specialty Business Services
675,CDW Corporation,118.17,15.24B,CDW,Information Technology Services
676,Lennox International Inc.,437.87,15.24B,LII,Building Products & Equipment
677,Textron Inc.,87.47,15.23B,TXT,Aerospace & Defense
678,CGI Inc.,71.05,15.14B,GIB,Information Technology Services
