No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
149,Duke Energy Corporation,129.99,101.09B,DUK,Utilities - Regulated Electric,Utilities
150,Starbucks Corporation,86.81,98.90B,SBUX,Restaurants,Consumer Discretionary
151,Spotify Technology S.A.,472.48,97.25B,SPOT,Internet Content & Information,Communication Services
152,Agnico Eagle Mines Limited,193.40,96.89B,AEM,Gold,Materials
153,Northrop Grumman Corporation,679.00,96.36B,NOC,Aerospace & Defense,Industrials
154,Vertiv Holdings Co,251.07,96.06B,VRT,Electrical Equipment & Parts,Industrials
155,Adobe Inc.,234.84,94.92B,ADBE,Software - Application,Technology
156,"Equinix, Inc.",963.00,94.62B,EQIX,REIT - Specialty,Real Estate
157,General Dynamics Corporation,346.76,93.76B,GD,Aerospace & Defense,Industrials
158,"CrowdStrike Holdings, Inc.",369.58,93.73B,CRWD,Software - Infrastructure,Technology
159,Bank of Montreal,131.76,93.44B,BMO,Banks - Diversified,Financials
160,Western Digital Corporation,275.34,93.35B,WDC,Computer Hardware,Technology
161,Howmet Aerospace Inc.,227.90,91.37B,HWM,Aerospace & Defense,Industrials
162,Sandisk Corporation,615.83,90.88B,SNDK,Computer Hardware,Technology
163,Trane Technologies plc,410.23,90.80B,TT,Building Products & Equipment,Industrials
164,"Waste Management, Inc.",225.06,90.77B,WM,Waste Management,Industrials
165,ICICI Bank Limited,25.30,90.37B,IBN,Banks - Regional,Financials
166,"The Williams Companies, Inc.",73.58,89.88B,WMB,Oil & Gas Midstream,Energy
167,CVS Health Corporation,70.08,89.16B,CVS,Healthcare Plans,Healthcare
168,Brookfield Corporation,39.00,88.78B,BN,Asset Management,Financials
169,Canadian Imperial Bank of Commerce,92.76,86.88B,CM,Banks - Diversified,Financials
170,ItaÃº Unibanco Holding S.A.,7.87,86.78B,ITUB,Banks - Regional,Financials
171,"Intercontinental Exchange, Inc.",152.67,86.70B,ICE,Financial Data & Stock Exchanges,Financials
172,Enterprise Products Partners L.P.,39.28,84.91B,EPD,Oil & Gas Midstream,Energy
173,"Marriott International, Inc.",317.54,84.14B,MAR,Lodging,Consumer Discretionary
174,The Bank of Nova Scotia,67.71,83.59B,BNS,Banks - Diversified,Financials
175,"Marvell Technology, Inc.",94.88,82.95B,MRVL,Semiconductors,Technology
176,Seagate Technology Holdings plc,380.07,82.88B,STX,Computer Hardware,Technology
177,"Installed Building Products, Inc.",262.33,82.79B,IBP,Residential Construction,Consumer Discretionary
178,"Quanta Services, Inc.",549.98,82.29B,PWR,Engineering & Construction,Industrials
179,FedEx Corporation,343.97,82.07B,FDX,Integrated Freight & Logistics,Industrials
180,"Marsh & McLennan Companies, Inc.",169.17,81.90B,MRSH,Insurance Brokers,Financials
181,"The PNC Financial Services Group, Inc.",202.39,81.64B,PNC,Banks - Regional,Financials
182,National Grid plc,81.92,81.45B,NGG,Utilities - Regulated Electric,Utilities
183,Eni S.p.A.,55.22,81.21B,E,Oil & Gas Integrated,Energy
184,"MercadoLibre, Inc.","1,599.52",81.09B,MELI,Internet Retail,Consumer Discretionary
185,"Automatic Data Processing, Inc.",201.25,81.03B,ADP,Software - Application,Technology
186,Freeport-McMoRan Inc.,56.24,80.83B,FCX,Copper,Materials
187,"United Parcel Service, Inc.",94.80,80.49B,UPS,Integrated Freight & Logistics,Industrials
188,Johnson Controls International plc,131.29,80.35B,JCI,Building Products & Equipment,Industrials
189,"EOG Resources, Inc.",149.56,80.24B,EOG,Oil & Gas Exploration & Production,Energy
190,Blackstone Inc.,108.07,80.21B,BX,Asset Management,Financials
191,SLB N.V.,53.50,80.00B,SLB,Oil & Gas Equipment & Services,Energy
192,Suncor Energy Inc.,66.66,79.14B,SU,Oil & Gas Integrated,Energy
193,American Tower Corporation,169.52,79.01B,AMT,REIT - Specialty,Real Estate
194,U.S. Bancorp,50.85,78.93B,USB,Banks - Regional,Financials
195,KKR & Co. Inc.,88.50,78.90B,KKR,Asset Management,Financials
196,The Bank of New York Mellon Corporation,114.66,78.76B,BK,Banks - Diversified,Financials
197,The Sherwin-Williams Company,315.37,78.14B,SHW,Specialty Chemicals,Materials
198,"Regeneron Pharmaceuticals, Inc.",737.71,77.99B,REGN,Biotechnology,Healthcare
199,PetrÃ³leo Brasileiro S.A. - Petrobras,20.77,77.29B,PBR,Oil & Gas Integrated,Energy
200,Valero Energy Corporation,254.32,76.05B,VLO,Oil & Gas Refining & Marketing,Energy
201,"NIKE, Inc.",51.37,76.05B,NKE,Footwear & Accessories,Consumer Discretionary
202,"Kinder Morgan, Inc.",34.03,75.71B,KMI,Oil & Gas Midstream,Energy
203,"O'Reilly Automotive, Inc.",90.11,75.56B,ORLY,Auto Parts,Consumer Discretionary
204,Phillips 66,188.28,75.45B,PSX,Oil & Gas Refining & Marketing,Energy
205,3M Company,143.04,75.34B,MMM,Conglomerates,Industrials
206,Moody's Corporation,424.84,75.32B,MCO,Financial Data & Stock Exchanges,Financials
207,"Airbnb, Inc.",122.87,74.79B,ABNB,Travel Services,Consumer Discretionary
208,"Mondelez International, Inc.",58.27,74.69B,MDLZ,Confectioners,Consumer Staples
209,Illinois Tool Works Inc.,259.04,74.66B,ITW,Specialty Industrial Machinery,Industrials
210,Marathon Petroleum Corporation,251.91,74.25B,MPC,Oil & Gas Refining & Marketing,Energy
211,"Cadence Design Systems, Inc.",271.77,74.10B,CDNS,Software - Application,Technology
212,CSX Corporation,39.67,73.77B,CSX,Railroads,Industrials
213,Ecolab Inc.,261.37,73.70B,ECL,Specialty Chemicals,Materials
214,"Synopsys, Inc.",380.47,72.88B,SNPS,Software - Infrastructure,Technology
215,"Motorola Solutions, Inc.",438.32,72.61B,MSI,Communication Equipment,Technology
216,Cummins Inc.,523.24,72.29B,CMI,Specialty Industrial Machinery,Industrials
217,ING Groep N.V.,24.79,71.95B,ING,Banks - Diversified,Financials
218,"Cloudflare, Inc.",203.02,71.46B,NET,Software - Infrastructure,Technology
219,Lloyds Banking Group plc,4.830,71.28B,LYG,Banks - Regional,Financials
220,Canadian Pacific Kansas City Limited,78.23,70.91B,CP,Railroads,Industrials
221,Royal Caribbean Cruises Ltd.,261.80,70.82B,RCL,Travel Services,Consumer Discretionary
222,Emerson Electric Co.,125.40,70.47B,EMR,Specialty Industrial Machinery,Industrials
223,Monster Beverage Corporation,71.83,70.27B,MNST,Beverages - Non-Alcoholic,Consumer Staples
224,Brookfield Asset Management Ltd.,43.18,70.25B,BAM,Asset Management,Financials
225,Barclays PLC,20.24,69.81B,BCS,Banks - Diversified,Financials
226,"American Electric Power Company, Inc.",130.10,69.64B,AEP,Utilities - Regulated Electric,Utilities
227,"NetEase, Inc.",109.26,69.23B,NTES,Electronic Gaming & Multimedia,Communication Services
228,The Cigna Group,261.96,69.03B,CI,Healthcare Plans,Healthcare
229,"Ross Stores, Inc.",211.69,68.85B,ROST,Apparel Retail,Consumer Discretionary
230,CRH plc,101.74,67.99B,CRH,Building Materials,Materials
231,Energy Transfer LP,19.67,67.67B,ET,Oil & Gas Midstream,Energy
232,Colgate-Palmolive Company,84.29,67.56B,CL,Household & Personal Products,Consumer Staples
233,Hilton Worldwide Holdings Inc.,294.04,67.42B,HLT,Lodging,Consumer Discretionary
234,Aon plc,313.66,67.20B,AON,Insurance Brokers,Financials
235,"Warner Bros. Discovery, Inc.",27.07,67.13B,WBD,Entertainment,Communication Services
236,"Republic Services, Inc.",215.83,66.48B,RSG,Waste Management,Industrials
237,TC Energy Corporation,63.46,66.32B,TRP,Oil & Gas Midstream,Energy
238,Cintas Corporation,165.71,66.27B,CTAS,Specialty Business Services,Industrials
